arquivo,ano,uf,n_registros,n_colunas,hash_md5,tamanho_bytes,data_processamento
CPNIES98.DBF,1998,ES,693,9,8a1e9aade807f1076554f822b2ef7436,30815,2026-02-27 17:27:39.098315
CPNIGO98.DBF,1998,GO,2178,9,586d677513d1f5c775226f7a696c3b9d,96155,2026-02-27 17:27:42.262605
CPNIMA98.DBF,1998,MA,1953,9,5dc3f0e1dbc8a3bc984a0f20e7a1f77a,86255,2026-02-27 17:27:45.293741
CPNIMG98.DBF,1998,MG,7677,9,d9c7077b4c48f8495cea439b3a35b205,338111,2026-02-27 17:27:49.421557
CPNIMS98.DBF,1998,MS,693,9,d1289d40586f0997ca9a794773ad6ea0,30815,2026-02-27 17:27:52.111829
CPNIMT98.DBF,1998,MT,1134,9,dbfb431dad958be839223175cd538d68,50219,2026-02-27 17:27:55.463415
CPNIPA98.DBF,1998,PA,1287,9,b98c32a830c4064d13d847b2d4c05ab4,56951,2026-02-27 17:27:58.317156
CPNIPB98.DBF,1998,PB,2007,9,ca98560a115c7f46dadac7084dc5f811,88631,2026-02-27 17:28:01.342579
CPNIPE98.DBF,1998,PE,1665,9,301fad01f9281e3b26e4eddbc1d6f5ae,73583,2026-02-27 17:28:04.453968
CPNIPI98.DBF,1998,PI,1989,9,a2d230b57419a02ea6706739c9d81101,87839,2026-02-27 17:28:07.677888
CPNIPR98.DBF,1998,PR,3591,9,9d53b966b2112bf09c7987a1b37273f1,158327,2026-02-27 17:28:11.420478
CPNIRJ98.DBF,1998,RJ,819,9,81cc15286d199f15ae3769dbc52b8ea2,36359,2026-02-27 17:28:14.608695
CPNIRN98.DBF,1998,RN,1494,9,1c0e3298b29a17e740b5025e430bdfad,66059,2026-02-27 17:28:17.711371
CPNIRO98.DBF,1998,RO,468,9,41ab24d00e4b0fe24dfa8c4a565a9145,20915,2026-02-27 17:28:20.484538
CPNIRR98.DBF,1998,RR,135,9,420595825f061263545df6c4b336b7a4,6263,2026-02-27 17:28:23.475436
CPNIRS98.DBF,1998,RS,4201,9,0b289c5177196ec3b2c32d4b5040ae13,185167,2026-02-27 17:28:27.137005
CPNISC98.DBF,1998,SC,2637,9,63c3a574c4f60cb5906d9e96e381902e,116351,2026-02-27 17:28:30.337875
CPNISE98.DBF,1998,SE,675,9,ccc343762ed721445109d3143154f470,30023,2026-02-27 17:28:33.623944
CPNISP98.DBF,1998,SP,5805,9,d96ab24286fb01f2049136a1a9df6bae,255743,2026-02-27 17:28:36.985151
CPNITO98.DBF,1998,TO,1251,9,f6ae63abc8cf7de22677886100b0c1a9,55367,2026-02-27 17:28:39.859473
CPNIAC99.DBF,1999,AC,330,9,c197db9b52f8ca58c5424ba90b75d0cc,14843,2026-02-27 17:28:44.158018
CPNIAL99.DBF,1999,AL,1530,9,bca62fe207a60018cb9c1766ed732b35,67643,2026-02-27 17:28:47.196951
