arquivo,etag_servidor,content_length,hash_md5_zip,n_registros,n_partes_json,data_processamento,ano,mes,url_origem,pipeline_version,git_commit
vacinacao_fev_2025_json.zip,"""f7049930951eb1d1972c840231ed36ae-174""",1452459299,e36788dfa3217abcbf1f1c83a4c52013,8800499,1,2026-08-06 11:25:35.219775,2025,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2025_json.zip,,
vacinacao_mar_2025_json.zip,"""860439c15bc0a249eaecd72bba011061-178""",1485959802,e273b942cfa32f6eff326e4eef3903b4,9272564,1,2026-08-06 12:03:53.945346,2025,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2025_json.zip,,
vacinacao_mai_2025_json.zip,"""93265a2a9142c46ed9fd2f7997d3f3fc-594""",4978402566,c2cdac2b70a85d65ae2c4b3e578f55f4,30892086,1,2026-08-06 14:12:08.929256,2025,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2025_json.zip,,
vacinacao_jun_2025_json.zip,"""1a31c071a01f5318dd49215a90d865a8-376""",3149487620,75d1e23162b7bcaa06dbde4e4d7dcc59,19731574,1,2026-08-06 15:35:55.151670,2025,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2025_json.zip,,
vacinacao_jul_2025_json.zip,"""6e87e06088afea36afb1b16bcb86a44a-283""",2369672691,05f4e7d6877f136ffd58c222ef5df014,14810885,1,2026-08-06 16:37:02.878958,2025,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2025_json.zip,,
vacinacao_ago_2025_json.zip,"""bbfd1aa2c81bc54fe61cd813ae71c4bf-212""",1778305206,971437b98679f82c42f1b811d152d6b3,11072062,1,2026-08-06 17:29:08.832495,2025,8,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_ago_2025_json.zip,,
vacinacao_set_2025_json.zip,"""5dea416aded984c51ba3fafcf39057f9-223""",1867507119,62d58ca71b8f6e55022146e8cc609a79,11473442,1,2026-08-06 18:15:37.229753,2025,9,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_set_2025_json.zip,,
vacinacao_out_2025_json.zip,"""bc045b670edcdf4e51c95d42d663d2f3-259""",2170385852,3474afa1d58884b4c31c4b231d6cee68,13246074,1,2026-08-06 19:09:18.806457,2025,10,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_out_2025_json.zip,,
vacinacao_nov_2025_json.zip,"""af5add732bdcb5c30ce451500bc06d0a-212""",1772012197,e3f1207e6fb97580c356eaaeca4d568c,10797896,1,2026-08-06 19:53:32.096591,2025,11,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_nov_2025_json.zip,,
vacinacao_dez_2025_json.zip,"""0c49e01cd7e2c7b1cebb1d8fb3aa54ca-183""",1532004859,fb10d87772e2166b075a83ee963304f3,9365967,1,2026-08-06 20:31:25.909901,2025,12,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_dez_2025_json.zip,,
vacinacao_jan_2026_json.zip,"""afdb2e053e58fb74ccb22d1f615938ce-291""",2438128897,2cd98c7f3a13014f6446f5590aafc0a1,11857560,1,2026-08-17 04:50:54.017034,2026,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2026_json.zip,,
vacinacao_fev_2026_json.zip,"""abc79a85a4dafe4fe36ef260560b0214-221""",1850703252,ec8ac53437cd38c439c932bf44a8e609,8908174,1,2026-08-17 05:28:15.311697,2026,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2026_json.zip,,
vacinacao_mar_2026_json.zip,"""9d4597ad08fdf3c9c3a2847d9761af52-391""",3272505349,bbb56826db1a9dcc7c13d3c653d7b2a4,15958711,1,2026-08-17 06:34:00.705742,2026,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2026_json.zip,,
vacinacao_abr_2026_json.zip,"""8da40232a8c4cee1628ad0928be66a20-660""",5533818344,1a88f05449b3d0fa9c2d74db359de1ce,27426213,1,2026-08-17 08:36:02.360345,2026,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2026_json.zip,,
vacinacao_mai_2026_json.zip,"""79384f9d051e0d67e2425444e3adc257-512""",4288382776,027088f53b9892e6ef49e87cee9e3346,21038481,1,2026-08-17 10:03:02.185991,2026,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2026_json.zip,,
vacinacao_jun_2026_json.zip,"""af065b6fcab1f833351407a4d8a6d60a-415""",3474999727,b81563d6c97c64e25a1b5f023fa9b2a3,17253238,1,2026-08-17 11:15:19.437830,2026,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2026_json.zip,,
vacinacao_jul_2026_json.zip,"""e6d9965a42969f8bb122d05641c127f2-309""",2586412526,a52dad9fe605a6679507145091b5f442,12716228,1,2026-08-17 12:09:32.735473,2026,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2026_json.zip,,
vacinacao_ago_2026_json.zip,"""027b82e5a19f41a8f72695181c55ba94-122""",1017489373,69e09a3b3aef5f8a4205dcf4a1b3d0ab,5215580,1,2026-08-17 12:30:59.357213,2026,8,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_ago_2026_json.zip,,
vacinacao_jan_2020_json.zip,"""574083fef599484e2984e23799efcca4-86""",1462663583,0ceddd7735be766477aca134b9d8d4c7,7831999,1,2026-08-24 04:39:51.612731,2020,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2020_json.zip,1.2.2,1deb10fb81faeec5c953acdfcc52f64fe34ccc3d
vacinacao_fev_2020_json.zip,"""ee51083fef25dd985493880bca3af963-95""",1624152923,7c65912797cede379e0020ec843fb7da,8668875,1,2026-08-24 05:14:49.530186,2020,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2020_json.zip,1.2.2,1deb10fb81faeec5c953acdfcc52f64fe34ccc3d
vacinacao_jan_2021_json.zip,"""1d5197236d427f8cc52b6281607f3a02-108""",1839724509,b5576d34c98947aa7ec4f0cac13ab86d,9633303,1,2026-08-24 12:09:04.527690,2021,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2021_json.zip,1.2.2,1deb10fb81faeec5c953acdfcc52f64fe34ccc3d
vacinacao_fev_2021_json.zip,"""1cf36dda81ee59c12e1cfa52fdf876c1-142""",2430188268,30395da76557aa0256b08521c7c48d2d,13026108,1,2026-08-24 13:01:50.774373,2021,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2021_json.zip,1.2.2,1deb10fb81faeec5c953acdfcc52f64fe34ccc3d
